"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2003S1","Malta","Euro","550.53",""
"2003S1","Netherlands","Euro","1,249.20",""
"2003S1","Austria","Euro",":","z"
"2003S1","Poland","Euro","198.96",""
"2003S1","Portugal","Euro","416.03",""
"2003S1","Romania","Euro","71.15",""
"2003S1","Slovenia","Euro","450.31",""
"2003S1","Slovakia","Euro","134.21",""
"2003S1","Finland","Euro",":","z"
"2003S1","Sweden","Euro",":","z"
"2003S1","United Kingdom","Euro","1,063.80",""
"2003S1","Iceland","Euro",":","z"
"2003S1","Norway","Euro",":","z"
"2003S1","Switzerland","Euro",":","z"
"2003S1","Montenegro","Euro",":",""
"2003S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2003S1","Albania","Euro",":",""
"2003S1","Serbia","Euro",":",""
"2003S1","Turkey","Euro","176.06",""
"2003S1","United States","Euro","851.22",""
"2004S1","Belgium","Euro","1,186.31",""
"2004S1","Bulgaria","Euro","61.36",""
"2004S1","Czech Republic","Euro","206.73",""
"2004S1","Denmark","Euro",":","z"
"2004S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2004S1","Estonia","Euro","158.50",""
"2004S1","Ireland","Euro","1,073.15",""
"2004S1","Greece","Euro","630.77",""
"2004S1","Spain","Euro","537.25",""
"2004S1","France","Euro","1,215.11",""
"2004S1","Croatia","Euro",":","z"
"2004S1","Italy","Euro",":","z"
"2004S1","Cyprus","Euro",":","z"
"2004S1","Latvia","Euro","118.96",""
"2004S1","Lithuania","Euro","130.34",""
"2004S1","Luxembourg","Euro","1,402.96",""
"2004S1","Hungary","Euro","201.90",""
"2004S1","Malta","Euro","540.84",""
"2004S1","Netherlands","Euro","1,264.80",""
"2004S1","Austria","Euro",":","z"
"2004S1","Poland","Euro","175.25",""
"2004S1","Portugal","Euro","425.95",""
"2004S1","Romania","Euro","68.03",""
"2004S1","Slovenia","Euro","470.99",""
"2004S1","Slovakia","Euro","147.68",""
"2004S1","Finland","Euro",":","z"
"2004S1","Sweden","Euro",":","z"
