Proizvodna struktura BDP po: DEJAVNOSTI/TRANSAKCIJE, MERITVE, LETO ,;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRANSAKCIJE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Stalne cene predhodnega leta (mio EUR); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;2008; ; ;2009; ; ;2010; ; ;2011; ; ;2012; ; ;2013; ; ;2014; ; ;2015; ; ;2016; ; 
 ;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost
S Druge dejavnosti;697.7;354.3;343.4;713.3;358.7;354.6;758.5;413.9;344.7;764.8;409.3;355.5;732.9;380.4;352.5;716.6;366.3;350.3;719.0;367.6;351.4;749.4;374.6;374.9;778.6;386.3;392.3
T Dejavnost gospodinjstev z zaposlenim osebjem (97-98);21.mar;-;21.mar;23.maj;-;23.maj;24.sep;-;24.sep;26.0;-;26.0;27.0;-;27.0;27.feb;-;27.feb;27.jun;-;27.jun;28.feb;-;28.feb;28.feb;-;28.feb
U Dejavnost eksteritorialnih organizacij in teles (99);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Skupaj dejavnosti;72610.4;40902.7;31707.8;67466.3;36678.1;30788.2;69633.2;37577.4;32055.7;70113.5;38426.3;31687.2;69374.1;38015.1;31359.1;68757.1;37713.2;31043.9;71264.6;38814.4;32450.2;72721.1;39488.5;33232.7;75508.7;40863.7;34645.0
Neto davki na proizvode;-;-;4604.9;-;-;4203.8;-;-;4558.1;-;-;4800.6;-;-;4552.3;-;-;4623.8;-;-;4868.6;-;-;5231.9;-;-;5414.4
..Davki na proizvode;-;-;4682.7;-;-;4245.4;-;-;4639.6;-;-;4883.8;-;-;4581.1;-;-;4659.6;-;-;4901.5;-;-;5264.9;-;-;5444.1
..Minus: subvencije po proizvodih;-;-;77.8;-;-;41.6;-;-;81.5;-;-;83.1;-;-;28.avg;-;-;35.8;-;-;32.9;-;-;33.0;-;-;29.jul
Bruto domaèi proizvod;-;-;36312.7;-;-;34992.0;-;-;36613.9;-;-;36487.8;-;-;35911.3;-;-;35667.7;-;-;37318.8;-;-;38464.6;-;-;40059.3
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Podatki pred letom 2007 so preraèunani v evre po fiksnem teèaju 1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
evro = 239,64 tolarja.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;;;;;;;;;;;;
e=8235 target=_blank) Metodološka pojasnila ;;;;;;;;;;;;;;;;;;;;;;;;;;;
